Geoid,Geographic Area Name,Total_Population_25_over_Bachelor's_degree_or_higher
19113000205,"Census Tract 2.05, Linn County, Iowa",1972
19113000208,"Census Tract 2.08, Linn County, Iowa",1276
19113000209,"Census Tract 2.09, Linn County, Iowa",1767
19113000210,"Census Tract 2.10, Linn County, Iowa",1481
19113000211,"Census Tract 2.11, Linn County, Iowa",2040
19113000212,"Census Tract 2.12, Linn County, Iowa",515
19113000213,"Census Tract 2.13, Linn County, Iowa",717
19113000300,"Census Tract 3, Linn County, Iowa",1489
19113000400,"Census Tract 4, Linn County, Iowa",1106
19113000500,"Census Tract 5, Linn County, Iowa",1288
19113000600,"Census Tract 6, Linn County, Iowa",766
19113000700,"Census Tract 7, Linn County, Iowa",384
19113000800,"Census Tract 8, Linn County, Iowa",883
19113000901,"Census Tract 9.01, Linn County, Iowa",1464
19113000902,"Census Tract 9.02, Linn County, Iowa",2923
19113001001,"Census Tract 10.01, Linn County, Iowa",1303
19113001002,"Census Tract 10.02, Linn County, Iowa",614
19113001004,"Census Tract 10.04, Linn County, Iowa",299
19113001005,"Census Tract 10.05, Linn County, Iowa",397
19113001101,"Census Tract 11.01, Linn County, Iowa",856
19113001102,"Census Tract 11.02, Linn County, Iowa",802
19113001200,"Census Tract 12, Linn County, Iowa",163
19113001300,"Census Tract 13, Linn County, Iowa",790
19113001400,"Census Tract 14, Linn County, Iowa",799
19113001500,"Census Tract 15, Linn County, Iowa",1135
19113001600,"Census Tract 16, Linn County, Iowa",1599
19113001700,"Census Tract 17, Linn County, Iowa",1800
19113001800,"Census Tract 18, Linn County, Iowa",807
19113001900,"Census Tract 19, Linn County, Iowa",178
19113002200,"Census Tract 22, Linn County, Iowa",172
19113002300,"Census Tract 23, Linn County, Iowa",810
19113002400,"Census Tract 24, Linn County, Iowa",425
19113002500,"Census Tract 25, Linn County, Iowa",327
19113002600,"Census Tract 26, Linn County, Iowa",329
19113002700,"Census Tract 27, Linn County, Iowa",414
19113002800,"Census Tract 28, Linn County, Iowa",865
19113002900,"Census Tract 29, Linn County, Iowa",586
19113003003,"Census Tract 30.03, Linn County, Iowa",753
19113003004,"Census Tract 30.04, Linn County, Iowa",512
19113003005,"Census Tract 30.05, Linn County, Iowa",1182
19113003006,"Census Tract 30.06, Linn County, Iowa",994
19113010100,"Census Tract 101, Linn County, Iowa",454
19113010200,"Census Tract 102, Linn County, Iowa",777
19113010300,"Census Tract 103, Linn County, Iowa",528
19113010400,"Census Tract 104, Linn County, Iowa",523
19113010500,"Census Tract 105, Linn County, Iowa",951
19113010600,"Census Tract 106, Linn County, Iowa",1507
19113010700,"Census Tract 107, Linn County, Iowa",1776
19113010801,"Census Tract 108.01, Linn County, Iowa",252
19113010802,"Census Tract 108.02, Linn County, Iowa",1338
19115450100,"Census Tract 4501, Louisa County, Iowa",299
19115450200,"Census Tract 4502, Louisa County, Iowa",574
19115450300,"Census Tract 4503, Louisa County, Iowa",438
19117950100,"Census Tract 9501, Lucas County, Iowa",227
19117950200,"Census Tract 9502, Lucas County, Iowa",345
19117950300,"Census Tract 9503, Lucas County, Iowa",185
19117950400,"Census Tract 9504, Lucas County, Iowa",234
19119950100,"Census Tract 9501, Lyon County, Iowa",258
19119950200,"Census Tract 9502, Lyon County, Iowa",446
19119950300,"Census Tract 9503, Lyon County, Iowa",765
19121060101,"Census Tract 601.01, Madison County, Iowa",768
19121060102,"Census Tract 601.02, Madison County, Iowa",511
19121060200,"Census Tract 602, Madison County, Iowa",848
19121060300,"Census Tract 603, Madison County, Iowa",678
19123950100,"Census Tract 9501, Mahaska County, Iowa",361
19123950200,"Census Tract 9502, Mahaska County, Iowa",464
19123950300,"Census Tract 9503, Mahaska County, Iowa",487
19123950400,"Census Tract 9504, Mahaska County, Iowa",687
19123950500,"Census Tract 9505, Mahaska County, Iowa",495
19123950600,"Census Tract 9506, Mahaska County, Iowa",430
